"pwhl_team_id","localization_abbr","record","hash","key","old_value","new_value"
"BOS","LEH","143","26216455","NHLTEAMNAME_ABBR3_LEH","LVP","BOS"
"BOS","LEH","19054","3166800237","X_XLA_TEAM_LEH","LVP","BOS"
"BOS","LEH","2012","351291585","NHLCITYNAME_LEH","Lehigh Valley","Boston"
"BOS","LEH","24375","4066447682","TXT_NICKNAME_LEH","Phantoms","Fleet"
"BOS","LEH","25738","4286825246","TXT_NICKNAME_ALT_LEH","Phantoms","Fleet"
"BOS","LEH","2618","449039510","TEAMLINE1_LEH","Lehigh Valley","Boston"
"BOS","LEH","8762","1455523748","NHLTEAMNAME_LEH","Lehigh Valley Phantoms","Boston Fleet"
"BOS","LEH","9428","1566815814","TEAMLINE2_LEH","Phantoms","Fleet"
"MIN","CHA","12580","2079262905","X_XLA_TEAM_CHA","CHA","MIN"
"MIN","CHA","14764","2448361072","NHLTeamName_CHA","Chicago Wolves®","Minnesota Frost"
"MIN","CHA","15559","2588751762","Teamline2_CHA","Wolves®","Frost"
"MIN","CHA","20076","3334375891","NHLTeamName_ABBR3_CHA","CHA","MIN"
"MIN","CHA","21410","3554593045","NHLCityName_CHA","Chicago","Minnesota"
"MIN","CHA","22414","3723316546","Teamline1_CHA","Chicago","Minnesota"
"MIN","CHA","5379","894406806","TXT_NICKNAME_CHA","Wolves","Frost"
"MIN","CHA","5698","950878922","TXT_NICKNAME_ALT_CHA","Wolves","Frost"
"MTL","TEX","1316","236120747","NHLTEAMNAME_ABBR3_TEX","TEX","MTL"
"MTL","TEX","18052","3007540161","X_XLA_TEAM_TEX","TEX","MTL"
"MTL","TEX","2045","356593210","TEAMLINE1_TEX","Texas","Montréal"
"MTL","TEX","24150","4026606002","TXT_NICKNAME_ALT_TEX","Stars","Victoire"
"MTL","TEX","25581","4259574766","TXT_NICKNAME_TEX","Stars","Victoire"
"MTL","TEX","2689","460499565","NHLCITYNAME_TEX","Texas","Montréal"
"MTL","TEX","8387","1390499050","TEAMLINE2_TEX","Stars","Victoire"
"MTL","TEX","9024","1497589000","NHLTEAMNAME_TEX","Texas Stars","Montréal Victoire"
"NY","HAR","11017","1818658272","TXT_NICKNAME_HAR","Wolf Pack","Sirens"
"NY","HAR","13422","2227460148","Teamline1_HAR","Hartford","New York"
"NY","HAR","14086","2331499619","NHLCityName_HAR","Hartford","New York"
"NY","HAR","16062","2677513381","NHLTeamName_ABBR3_HAR","HAR","NY"
"NY","HAR","19740","3278119652","Teamline2_HAR","Wolf Pack","Sirens"
"NY","HAR","20306","3368424198","NHLTeamName_HAR","Hartford Wolf Pack","New York Sirens"
"NY","HAR","9851","1636063164","TXT_NICKNAME_ALT_HAR","Wolf Pack","Sirens"
"OTT","SAN","10306","1710638946","TXT_NICKNAME_ALT_SAN","Rampage","Charge"
"OTT","SAN","10565","1746179390","TXT_NICKNAME_SAN","Rampage","Charge"
"OTT","SAN","13001","2159429866","Teamline1_SAN","San Antonio","Ottawa"
"OTT","SAN","14452","2391133373","NHLCityName_SAN","San Antonio","Ottawa"
"OTT","SAN","15712","2615512187","NHLTeamName_ABBR3_SAN","SAN","OTT"
"OTT","SAN","20111","3340120634","Teamline2_SAN","Rampage","Charge"
"OTT","SAN","20711","3434349528","NHLTeamName_SAN","San Antonio Rampage","Ottawa Charge"
"OTT","SAN","3849","649334033","X_XLA_TEAM_SAN","SAN","OTT"
"SEA","SD","16453","2739262804","TEAMLINE1_SD","San Diego","Seattle"
"SEA","SD","17907","2985327290","TEAMLINE2_SD","Gulls","Torrent"
"SEA","SD","18683","3108778515","TXT_NICKNAME_SD","Gulls","Torrent"
"SEA","SD","20214","3357456757","NHLTEAMNAME_SD","San Diego Gulls","Seattle Torrent"
"SEA","SD","24250","4045684481","NHLTeamName_Abbr3_SD","SD","SEA"
"SEA","SD","2891","492259825","X_XLA_TEAM_SD","SD","SEA"
"SEA","SD","4202","707413079","NICKLINE2_SD","Gulls","Torrent"
"SEA","SD","5527","921981081","TXT_NICKNAME_ALT_SD","Gulls","Torrent"
"SEA","SD","7580","1263120476","NHLCityName_SD","San Diego","Seattle"
"TOR","TOA","10057","1667740580","TXT_NICKNAME_TOA","Marlies","Sceptres"
"TOR","TOA","11245","1854235128","TXT_NICKNAME_ALT_TOA","Marlies","Sceptres"
"TOR","TOA","13547","2247551527","NHLCityName_TOA","Toronto","Toronto"
"TOR","TOA","14173","2344971888","Teamline1_TOA","Toronto","Toronto"
"TOR","TOA","14657","2425793249","NHLTeamName_ABBR3_TOA","TOA","TOR"
"TOR","TOA","20177","3351717186","NHLTeamName_TOA","Toronto Marlies","Toronto Sceptres"
"TOR","TOA","20682","3429176480","Teamline2_TOA","Marlies","Sceptres"
"TOR","TOA","4600","768027531","X_XLA_TEAM_TOA","TOA","TOR"
"VAN","ONT","12086","1995491680","NICKLINE2_ONT","Reign","Goldeneyes"
"VAN","ONT","16476","2742205561","NHLTEAMNAME_ONT","Ontario Reign","Vancouver Goldeneyes"
"VAN","ONT","16994","2832240027","TEAMLINE2_ONT","Reign","Goldeneyes"
"VAN","ONT","22762","3779293980","NHLCITYNAME_ONT","Ontario","Vancouver"
