"pwhl_team_id","player_name","first_name","last_name","position_group","position_code","donor_team_id","roster_record","player_index","game_id","bio_record","donor_player","donor_position_code","jersey","line_assigned"
"BOS","Hannah Brandt","Hannah","Brandt","F","1","43","1009","69","74","43","Chris Conner","1","41","True"
"BOS","Ella Huber","Ella","Huber","F","0","43","1011","1632","4337","1093","Darroll Powe","0","36","True"
"BOS","Laura Kluge","Laura","Kluge","F","2","43","1012","1657","4382","1111","Colin McDonald","2","13","True"
"BOS","Shay Maloney","Shay","Maloney","F","2","43","1013","2539","6707","1800","Aaron Palushaj","2","71","True"
"BOS","Olivia Mobley","Olivia","Mobley","F","1","43","1015","2614","6912","1870","Austin Fyten","1","11","True"
"BOS","Alina Müller","Alina","Müller","F","0","43","1019","2877","7658","2104","Nick Cousins","0","25","True"
"BOS","Abby Newhook","Abby","Newhook","F","1","43","1021","2973","8152","2188","Petr Straka","1","24","True"
"BOS","Jamie Lee Rattray","Jamie Lee","Rattray","F","0","43","1023","3278","8917","2459","Scott Laughton","0","21","True"
"BOS","Jill Saulnier","Jill","Saulnier","F","2","43","1024","3284","8931","2465","Derek Mathers","2","29","True"
"BOS","Theresa Schafzahl","Theresa","Schafzahl","F","1","43","1025","3644","9675","2789","Taylor Leier","1","23","True"
"BOS","Liz Schepers","Liz","Schepers","F","2","43","1026","3873","10077","3007","Brett Hextall","2","16","True"
"BOS","Sophie Shirley","Sophie","Shirley","F","0","43","1033","6028","13025","5025","Kevin Goumas","0","17","True"
"BOS","Susanna Tapani","Susanna","Tapani","F","2","43","1018","2871","7623","2099","Brandon Alderson","2","19","False"
"BOS","Zoe Boyd","Zoe","Boyd","D","3","43","1020","2910","7752","2134","Maxim Lamarche","3","20","True"
"BOS","Riley Brengman","Riley","Brengman","D","3","43","1022","2974","8165","2189","Steven Delisle","3","5","True"
"BOS","Hadley Hartmetz","Hadley","Hartmetz","D","3","43","1027","3915","10155","3038","Jesper Pettersson","3","8","True"
"BOS","Megan Keller","Megan","Keller","D","3","43","1030","4561","11255","3642","Robert Hagg","3","4","True"
"BOS","Rylind MacKinnon","Rylind","MacKinnon","D","3","43","1031","4644","11364","3714","Mark Alt","3","2","True"
