"pwhl_team_id","player_name","position_group","game_id","bio_record","portrait_art_id","has_portrait","pwhl_player_id","official_name","official_position","official_jersey","birthdate","shoots","height","hometown","headshot_240_url","media_api_url","profile_api_url","season_stats_api_url","match_method","portrait_status","portrait_qa","attribution","notes"
"BOS","Abbey Levy","G","11129","3569","10347","1","41","Abbey Levy","G","39","2000-04-02","L","6-1","Congers, NY","https://assets.leaguestat.com/pwhl/240x240/41.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=41&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=41&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=41&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Abby Newhook","F","8152","2188","7035","1","259","Abby Newhook","RW","19","2003-05-13","R","","St John's, NL","https://assets.leaguestat.com/pwhl/240x240/259.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=259&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=259&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=259&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Aerin Frankel","G","1349","350","489","1","6","Aerin Frankel","G","31","1999-05-24","L","5-5","Chappaqua, NY","https://assets.leaguestat.com/pwhl/240x240/6.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=6&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=6&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=6&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Alina Müller","F","7658","2104","6686","1","15","Alina Müller","C","11","1998-03-12","L","5-5","Winterthur, SWI","https://assets.leaguestat.com/pwhl/240x240/15.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=15&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=15&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=15&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Amanda Thiele","G","10993","3516","10207","1","262","Amanda Thiele","G","30","2002-07-30","L","","Milford, MI","https://assets.leaguestat.com/pwhl/240x240/262.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=262&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=262&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=262&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Daniela Pejšová","D","12499","4523","11785","1","185","Daniela Pejšová","LD","55","2002-08-14","L","5-8","Teplice, CZE","https://assets.leaguestat.com/pwhl/240x240/185.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=185&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=185&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=185&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Ella Huber","F","4337","1093","2229","1","243","Ella Huber","LW","26","2002-12-18","L","5-5","Northfield, IL","https://assets.leaguestat.com/pwhl/240x240/243.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=243&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=243&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=243&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Hadley Hartmetz","D","10155","3038","9366","1","182","Hadley Hartmetz","RD","6","2001-03-25","R","5-5","Phoenixville, PA","https://assets.leaguestat.com/pwhl/240x240/182.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=182&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=182&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=182&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Haley Winn","D","6787","1830","5652","1","246","Haley Winn","RD","8","2003-07-14","R","5-6","Rochester, NY","https://assets.leaguestat.com/pwhl/240x240/246.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=246&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=246&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=246&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
"BOS","Hannah Brandt","F","74","43","1364","1","1","Hannah Brandt","C","20","1993-11-27","R","5-6","Vadnais Heights, MN","https://assets.leaguestat.com/pwhl/240x240/1.jpg","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=media&player_id=1&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=profile&player_id=1&key=446521baf8c38984&client_code=pwhl","https://lscluster.hockeytech.com/feed/index.php?feed=modulekit&view=player&category=seasonstats&player_id=1&key=446521baf8c38984&client_code=pwhl","league-roster-normalized-name","Source mapped","Not reviewed","Official statistics and media provided by the Professional Women's Hockey League and HockeyTech.",""
