team_id,season,city,name,abbreviation,status,source_url
BOS,2025-26,Boston,Fleet,BOS,active,https://www.thepwhl.com/en/teams/boston-fleet/news/2025/november/20/boston-fleet-announce-2025-26-roster
MIN,2025-26,Minnesota,Frost,MIN,active,https://www.thepwhl.com/en/teams/minnesota-frost/news/2025/november/20/minnesota-frost-announce-2025-26-roster
MTL,2025-26,Montréal,Victoire,MTL,active,https://www.thepwhl.com/en/teams/montreal-victoire/news/2025/november/20/montreal-victoire-announce-2025-26-roster
NY,2025-26,New York,Sirens,NY,active,https://www.thepwhl.com/en/teams/new-york-sirens/news/2025/november/20/new-york-sirens-announce-2025-26-roster
OTT,2025-26,Ottawa,Charge,OTT,active,https://www.thepwhl.com/en/teams/ottawa-charge/news/2025/november/20/ottawa-charge-announce-2025-26-roster
SEA,2025-26,Seattle,Torrent,SEA,active,https://www.thepwhl.com/en/teams/seattle-torrent/news/2025/november/20/seattle-torrent-announce-2025-26-roster
TOR,2025-26,Toronto,Sceptres,TOR,active,https://www.thepwhl.com/en/teams/toronto-sceptres/news/2025/november/20/toronto-sceptres-announce-2025-26-roster
VAN,2025-26,Vancouver,Goldeneyes,VAN,active,https://www.thepwhl.com/en/teams/vancouver-goldeneyes/news/2025/november/20/vancouver-goldeneyes-announce-2025-26-roster
DET,2026-27,Detroit,PWHL Detroit,DET,expansion-placeholder,https://www.thepwhl.com/
HAM,2026-27,Hamilton,PWHL Hamilton,HAM,expansion-placeholder,https://www.thepwhl.com/
LV,2026-27,Las Vegas,PWHL Las Vegas,LV,expansion-placeholder,https://www.thepwhl.com/
SJ,2026-27,San Jose,PWHL San Jose,SJ,expansion-placeholder,https://www.thepwhl.com/

