team_id,team_name,set,donor_team_id,donor_name,team_art_id,style,variant,jersey_path,pant_path,sock_path,front_reference_url,back_reference_url,side_reference_url,crest_asset,shoulder_patch_asset,number_font_reference,name_font_reference,primary_hex,secondary_hex,accent_hex,status,qa_status,notes
BOS,Boston Fleet,Home,43,Lehigh Valley Phantoms,148,1,0,game/_compiled/rendering/jersey/texlib_1_148_0.rx2,game/_compiled/rendering/pant/texlib_1_148_0.rx2,game/_compiled/rendering/sock/sock_1_148_0_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
BOS,Boston Fleet,Away,43,Lehigh Valley Phantoms,148,1,1,game/_compiled/rendering/jersey/texlib_1_148_1.rx2,game/_compiled/rendering/pant/texlib_1_148_1.rx2,game/_compiled/rendering/sock/sock_1_148_1_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
MIN,Minnesota Frost,Home,37,Chicago Wolves,133,1,1,game/_compiled/rendering/jersey/texlib_1_133_1.rx2,game/_compiled/rendering/pant/texlib_1_133_1.rx2,game/_compiled/rendering/sock/sock_1_133_1_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
MIN,Minnesota Frost,Away,37,Chicago Wolves,133,1,0,game/_compiled/rendering/jersey/texlib_1_133_0.rx2,game/_compiled/rendering/pant/texlib_1_133_0.rx2,game/_compiled/rendering/sock/sock_1_133_0_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
MTL,Montréal Victoire,Home,58,Texas Stars,159,1,2,game/_compiled/rendering/jersey/texlib_1_159_2.rx2,game/_compiled/rendering/pant/texlib_1_159_2.rx2,game/_compiled/rendering/sock/sock_1_159_2_cm.rx2,,,,,,,,,,,References needed,Not reviewed,Compiled variant 2 is selected by stock jersey record variant 4.
MTL,Montréal Victoire,Away,58,Texas Stars,159,1,3,game/_compiled/rendering/jersey/texlib_1_159_3.rx2,game/_compiled/rendering/pant/texlib_1_159_3.rx2,game/_compiled/rendering/sock/sock_1_159_3_cm.rx2,,,,,,,,,,,References needed,Not reviewed,Compiled variant 3 is selected by stock jersey record variant 5.
NY,New York Sirens,Home,39,Hartford Wolf Pack,137,1,1,game/_compiled/rendering/jersey/texlib_1_137_1.rx2,game/_compiled/rendering/pant/texlib_1_137_1.rx2,game/_compiled/rendering/sock/sock_1_137_1_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
NY,New York Sirens,Away,39,Hartford Wolf Pack,137,1,0,game/_compiled/rendering/jersey/texlib_1_137_0.rx2,game/_compiled/rendering/pant/texlib_1_137_0.rx2,game/_compiled/rendering/sock/sock_1_137_0_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
OTT,Ottawa Charge,Home,52,San Antonio Rampage,152,1,1,game/_compiled/rendering/jersey/texlib_1_152_1.rx2,game/_compiled/rendering/pant/texlib_1_152_1.rx2,game/_compiled/rendering/sock/sock_1_152_1_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
OTT,Ottawa Charge,Away,52,San Antonio Rampage,152,1,0,game/_compiled/rendering/jersey/texlib_1_152_0.rx2,game/_compiled/rendering/pant/texlib_1_152_0.rx2,game/_compiled/rendering/sock/sock_1_152_0_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
SEA,Seattle Torrent,Home,53,San Diego Gulls,145,1,2,game/_compiled/rendering/jersey/texlib_1_145_2.rx2,game/_compiled/rendering/pant/texlib_1_145_2.rx2,game/_compiled/rendering/sock/sock_1_145_2_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
SEA,Seattle Torrent,Away,53,San Diego Gulls,145,1,3,game/_compiled/rendering/jersey/texlib_1_145_3.rx2,game/_compiled/rendering/pant/texlib_1_145_3.rx2,game/_compiled/rendering/sock/sock_1_145_3_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
TOR,Toronto Sceptres,Home,59,Toronto Marlies,155,1,1,game/_compiled/rendering/jersey/texlib_1_155_1.rx2,game/_compiled/rendering/pant/texlib_1_155_1.rx2,game/_compiled/rendering/sock/sock_1_155_1_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
TOR,Toronto Sceptres,Away,59,Toronto Marlies,155,1,0,game/_compiled/rendering/jersey/texlib_1_155_0.rx2,game/_compiled/rendering/pant/texlib_1_155_0.rx2,game/_compiled/rendering/sock/sock_1_155_0_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
VAN,Vancouver Goldeneyes,Home,46,Ontario Reign,142,1,5,game/_compiled/rendering/jersey/texlib_1_142_5.rx2,game/_compiled/rendering/pant/texlib_1_142_5.rx2,game/_compiled/rendering/sock/sock_1_142_5_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
VAN,Vancouver Goldeneyes,Away,46,Ontario Reign,142,1,6,game/_compiled/rendering/jersey/texlib_1_142_6.rx2,game/_compiled/rendering/pant/texlib_1_142_6.rx2,game/_compiled/rendering/sock/sock_1_142_6_cm.rx2,,,,,,,,,,,References needed,Not reviewed,
